Symbol;Company Name;Last Price;Change (%);Market Cap;Price/Sales;P/E Ratio (TTM);Forward P/E;Price / Book;Short Ratio;Pre-Mkt Chg %;Post-Mkt Chg %;PEG Ratio (5yr expected);Volume;Avg Vol (10 days);Avg Vol (3M);Shares Out;EPS (TTM);Fwd Ann Div Yield;Trl Ann Div Yield;Book Val;EBITDA;Earnings Date;52-DMA Chg %;200-DMA Chg %;1yr Target Est;EPS Est. Next Yr;EPS Current Year;52-Wk High Chg %;52-Wk Low Chg %;Trl Ann Div Rate;
OLO;Olo Inc.;7.32;+0.09%;1.199B;4.41;--;27.13;1.79;1.29;+3.45%;--;--;114,429;1.551M;1.105M;111.679M;-0.10;--;0.00%;4.09;-22.766M;2025/02/19 - 2025/02/24;+31.15%;+42.67%;8.70;0.27;0.23;-1.94%;+74.40%;0.00;
RDW;Redwire Corporation;12.98;-0.14%;863.701M;2.90;--;-54.08;-8.96;5.66;+1.45%;--;--;132,958;921,51;505,32;66.541M;-1.21;--;0.00%;-1.45;-13.286M;2024/11/06 - 2024/11/06;+41.58%;+108.19%;12.75;-0.24;-0.62;-14.89%;+384.33%;0.00;
BRZE;Braze, Inc.;41.80;+2.23%;4.294B;8.01;--;167.20;9.39;2.89;+2.35%;--;--;264,02;1.56M;1.404M;82.431M;-1.18;--;0.00%;4.45;-132.415M;2024/12/09 - 2024/12/09;+24.97%;+3.86%;51.72;0.25;0.07;-32.07%;+43.25%;0.00;
BYDDY;BYD Company Limited;66.36;-0.68%;106.232B;0.16;20.74;21.13;1.24;--;--;--;--;40,747;256,47;374,673;549M;3.20;1.30%;4.62%;53.44;98.625B;2024/10/30 - 2024/10/30;-7.33%;+10.45%;88.00;3.14;3.78;-20.69%;+52.13%;3.10;
GRAB;Grab Holdings Limited;5.26;-0.03%;21.144B;7.87;--;175.02;3.33;2.19;+0.38%;--;--;6.681M;48.909M;35.481M;3.909B;-0.02;--;0.00%;1.58;-70M;2024/11/11 - 2024/11/11;+22.71%;+45.17%;5.40;0.03;-0.03;-8.21%;+81.05%;0.00;
VST;Vistra Corp.;163.54;+9.38%;55.651B;3.42;30.86;23.71;18.80;1.38;+3.14%;--;--;1.745M;5.471M;7.439M;340.226M;5.30;0.57%;0.56%;8.70;6.02B;2025/02/26 - 2025/03/03;+21.73%;+76.82%;157.46;6.90;5.76;-3.02%;+352.23%;0.87;
BE;Bloom Energy Corporation;25.88;-0.26%;5.92B;4.70;--;70.00;13.73;4.73;+0.46%;--;--;1.134M;9.953M;8.081M;228.576M;-0.54;--;0.00%;1.89;-34.679M;2025/02/13 - 2025/02/17;+82.66%;+108.21%;20.19;0.37;0.07;-9.76%;+207.89%;0.00;
SMR;NuScale Power Corporation;26.28;+1.41%;2.658B;360.09;--;-55.94;16.08;1.42;+1.77%;--;--;3.199M;10.557M;10.585M;101.097M;-0.95;--;0.00%;1.63;-195.896M;2024/11/07 - 2024/11/07;+34.85%;+144.72%;18.42;-0.47;-1.19;-18.61%;+1,298.40%;0.00;
BABA;Alibaba Group Holding Limited;84.91;-0.77%;205.354B;0.22;17.55;8.60;0.21;2.58;+0.06%;--;--;3.259M;15.199M;20.152M;2.386B;4.84;2.21%;0.00%;405.38;176.593B;2025/02/05 - 2025/02/10;-13.66%;+2.67%;871.41;9.87;63.81;-27.92%;+27.46%;0.00;
NNE;NANO Nuclear Energy Inc.;28.18;+1.56%;1.004B;--;--;-28.03;62.57;0.30;+5.26%;--;--;1.76M;6.18M;4.997M;35.821M;-0.31;--;0.00%;0.45;--;2024/08/14 - 2024/08/14;+35.00%;+85.66%;58.00;-1.00;--;-25.27%;+762.46%;0.00;
RR;Richtech Robotics Inc.;0.7270;+0.05%;69.362M;7.61;--;--;5.59;0.99;+9.79%;--;--;2.364M;2.639M;4.046M;55.473M;-0.0400;--;0.00%;0.13;-1.312M;--;+7.63%;-35.97%;--;--;--;-94.08%;+140.73%;0.00;
MU;Micron Technology, Inc.;100.76;+0.92%;112.262B;4.47;143.96;7.83;2.48;2.07;+0.88%;--;--;3.382M;16.847M;21.66M;1.114B;0.70;0.46%;0.46%;40.69;8.944B;2024/12/18 - 2024/12/18;-2.86%;-8.51%;145.92;12.87;8.93;-36.04%;+38.17%;0.46;
